ANO,REGIAO,UF,MUNICIPIO,AREA,DEPENDENCIA_ADM,LOCALIZACAO,NOTA_LP,NOTA_MT,SEXO,RACA_COR,IDADE,COMPUTADOR,MORA_MÃE,MORA_PAI,REUNIÕES_ESCOLARES,USO_TEMPO_TELAS,AFAZERES_DOM,BIBLIOTECA
2017,3,35,3513504,2,2,1,274530516,244778523,B,C,D,B,A,A,B,D,B,B
2017,1,15,1504422,2,3,2,220869305,155554973,B,C,C,A,A,A,C,C,C,B
2017,2,29,2931350,2,3,1,321640024,235342836,B,C,C,A,A,NA,C,A,A,A
2017,2,23,2303709,2,3,1,179947553,174123969,B,C,C,A,A,A,B,E,E,C
2017,3,31,3103504,2,3,1,235514222,23116427,A,C,D,B,A,A,A,E,B,C
2017,3,31,3106705,2,3,1,26976494,247198717,A,C,C,B,C,C,A,D,NA,B
2017,5,51,5106299,2,2,1,1929373,221655979,B,A,D,A,A,A,A,A,A,A
2017,3,35,3549904,2,2,1,232519568,259332774,A,C,D,A,A,A,A,D,E,A
2017,2,28,2804607,2,2,1,21382044,221838523,B,B,D,A,A,A,A,B,D,B
2017,4,42,4202404,2,3,1,205488009,234635575,A,A,F,A,A,B,C,C,A,B
2017,3,35,3523404,2,3,1,21830559,276624351,A,B,D,A,A,A,A,D,B,B
2017,3,35,3546306,2,3,1,186880997,221789729,B,A,E,A,A,C,A,D,A,C
2017,5,52,5211909,2,3,1,241482817,255343067,B,B,C,B,A,B,A,A,A,B
2017,3,35,3543402,2,2,1,186553577,265989214,B,B,C,B,A,A,A,B,B,B
2017,3,35,3515004,2,3,1,25716338,203449444,B,E,C,B,A,A,A,B,E,C
2017,4,43,4315701,2,3,2,23675509,236557377,A,A,C,D,A,A,C,B,C,C
2017,2,29,2922904,2,3,1,172337782,156999454,A,B,D,C,A,A,B,NA,E,A
2017,3,35,3550308,1,3,1,238979595,249371699,B,C,C,B,A,C,B,D,B,A
2017,2,29,2906204,2,3,2,186162745,215902814,A,C,C,A,A,A,C,B,A,C
2017,5,50,5002704,1,3,1,193664588,20407365,A,NA,NA,A,A,A,A,A,A,C
2017,5,52,5206206,2,3,2,303751429,316009383,A,A,D,A,A,A,C,D,D,B
2017,3,31,3137502,2,3,1,216767714,212013211,A,F,D,B,B,NA,A,B,E,B
2017,3,35,3501608,2,3,1,261763896,30947965,A,A,C,B,A,A,A,B,A,B
2017,2,23,2304707,2,3,2,186877361,240341399,A,C,D,B,C,B,C,D,E,B
2017,3,31,3153509,2,3,2,283690614,23884069,A,B,D,A,A,NA,B,C,E,B
2017,5,52,5218805,2,3,1,193517103,242053325,B,C,D,A,B,B,A,E,D,A
2017,2,26,2601706,2,3,1,142792699,174261856,B,E,C,A,A,A,A,A,C,C
2017,5,52,5212055,2,3,1,228522599,240355875,A,C,C,A,A,B,C,NA,D,C
2017,4,41,4119509,2,3,2,252532727,248090032,A,A,B,A,A,A,A,C,A,C
2017,4,42,4202404,2,3,1,218185101,230666157,B,A,E,B,A,C,A,A,B,B
2017,1,15,1506807,2,3,2,166658703,170324856,A,A,C,NA,B,B,A,NA,A,C
2017,4,42,4202909,2,2,1,178059228,236734276,A,A,C,B,A,A,A,A,B,A
2017,3,35,3529401,2,2,1,269083159,232961599,B,C,D,A,A,B,A,D,E,B
2017,3,33,3301702,2,3,1,271161336,146369963,A,C,C,B,A,A,A,B,D,A
2017,1,12,1200401,1,2,1,178802492,190366336,A,A,D,B,A,NA,C,B,B,C
2017,2,27,2706703,2,2,1,242421938,222291922,B,C,D,A,A,A,B,B,A,B
2017,4,41,4108650,2,3,1,18402077,203084244,A,C,D,A,C,B,A,D,E,B
2017,3,35,3543402,2,3,1,264532558,258747804,A,C,D,B,C,C,A,B,A,A
2017,1,13,1302603,1,3,1,172382407,246633031,B,C,D,A,B,A,C,B,A,B
2017,2,23,2300200,2,3,1,230882909,248462219,B,C,D,B,A,A,B,C,A,B
2017,4,41,4117503,2,3,1,209605963,253147561,A,A,C,A,A,B,A,A,A,B
2017,2,23,2310506,2,3,1,215991944,304592816,A,B,C,B,A,A,A,A,A,A
2017,3,31,3157906,2,3,1,297916932,317226214,B,A,D,B,A,A,B,B,A,C
2017,4,41,4106902,1,3,1,161226057,19988547,A,A,C,B,A,A,A,C,A,B
